DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,AIS_SPECIES,YEAR_INFESTED,DNR_REGION,DELINEATED,PW_BASIN_N,PW_PARENT_,PARENTDOW.CDOM,size_acres,shore_miles,max_depth,avg_depth,avg_secchi,min_secchi,max_secchi,totarea.cdom,totpix.cdom,pix.cdom,a440.cdom,avg_totalalkalinity,avg_chlorophylla,avg_nitrogen,avg_ph,avg_phosphorus,avg_conductance,mean.peak_temp,mean.gdd_wtr_10c,mean.mean_surf_jas,mean.max_surf_jas
1004000,Lake or Pond,477923.6211,5183462.08,Aitkin,N,U,NA,NA,2,Fsh,Aitkin,Aitkin,10040,658.8168415,13.5949791,10.668,NA,1.8288,1.8288,1.8288,871.494884,3921.726978,0.580356566,3.6171021,NA,NA,NA,NA,NA,NA,27.143575712918153,1564.8303204829324,21.91241215808025,27.037362731405363
1004100,Lake or Pond,480456.7279,5183643.516,Aitkin,N,U,NA,NA,2,NA,Twin,Twin,10041,18.87963011,0.80598635,NA,NA,NA,NA,NA,17.83971331,80.27870988,0.722482961,8.603644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004200,Lake or Pond,483054.8644,5181945.388,Aitkin,N,U,NA,NA,2,Fsh,Glacier,Glacier,10042,134.9797496,3.19212056,18,NA,2.252836364,1.7,3,131.3073594,590.8831171,0.844498659,8.6765865,NA,4.666666667,NA,NA,0.014,NA,27.421470790519585,1580.2943243538905,21.711056375483334,27.305109435898075
1004300,Lake or Pond,478498.9336,5182333.642,Aitkin,N,U,NA,NA,2,NA,Unnamed,Unnamed,10043,21.21635521,0.80012189,NA,NA,NA,NA,NA,22.3111061,100.3999774,0.547808888,5.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004400,Lake or Pond,476697.3968,5182131.753,Aitkin,N,U,NA,NA,2,USGS,Tiesen,Tiesen,10044,31.36669239,0.88898164,NA,NA,NA,NA,NA,33.35385445,150.092345,0.579643152,5.50349945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004500,Lake or Pond,481250.7137,5197220.411,Aitkin,N,U,NA,NA,2,Fsh,Blackface,Blackface,10045,191.8030858,3.50155411,5.1816,2.8968,2.167846154,1.68,2.7,177.1810936,797.3149214,0.886726161,3.70167805,NA,4,NA,NA,0.018,NA,27.923682427395146,1394.2188285694851,20.20303932726185,27.763018553653946
1004600,Lake or Pond,478647.8282,5197728.231,Aitkin,N,U,NA,NA,2,Fsh,Ball Bluff,Ball Bluff,10046,168.6441473,2.71141099,22.86,12.78,4.739458824,2.9,6.2,170.2388299,766.0747346,0.809320517,2.3226665,120,4.23,0.51,7.6225,0.06,248.5657143,26.355829649424948,1465.9723571005738,21.131674150849452,26.245537243274004
1004700,Lake or Pond,480407.0329,5195079.195,Aitkin,N,U,NA,NA,2,NA,Long,Long,10047,24.55447404,0.92695367,NA,NA,NA,NA,NA,25.68043098,115.5619394,0.631695871,5.63848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004800,Lake or Pond,481327.1944,5196310.403,Aitkin,N,U,NA,NA,2,USGS,Little Blackface,Little Blackface,10048,18.74924819,0.66073675,NA,NA,NA,NA,NA,22.13479455,99.60657548,0.582290875,6.95841345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004900,Lake or Pond,481111.5632,5194334.19,Aitkin,N,U,NA,NA,2,Fsh,Bay,Bay,10049,35.16495952,1.16127696,10.9728,NA,NA,NA,NA,31.9421583,143.7397123,0.820928317,4.8561979,NA,NA,NA,NA,NA,NA,27.306991481593187,1549.218304723681,21.471800284369415,27.185852815369792
1005000,Lake or Pond,479176.5837,5194833.839,Aitkin,N,U,NA,NA,2,NA,Unnamed,Unnamed,NA,10.02116842,0.45713938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005100,Lake or Pond,477991.8575,5194661.392,Aitkin,N,U,NA,NA,2,USGS,Unnamed,Unnamed,NA,10.75575265,0.88472552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005200,Lake or Pond,480383.7879,5193063.077,Aitkin,N,U,NA,NA,2,Fsh,Little Red Horse,Little Red Horse,10052,32.12001648,1.17037374,4.572,NA,NA,NA,NA,30.59123401,137.660553,0.704631777,8.8262766,NA,NA,NA,NA,NA,NA,28.20979722389796,1555.4191726052243,21.38944126165327,28.119380331461187
1005300,Lake or Pond,482831.9546,5190458.153,Aitkin,N,U,NA,NA,2,Fsh,Rat House,Rat House,10053,110.1955473,1.81372305,0.9144,NA,NA,NA,NA,105.1693141,473.2619135,0.564169633,8.55080315,NA,NA,NA,NA,NA,NA,28.72471267738378,1437.7007909280153,20.23086478927049,28.611843845734967
1005400,Lake or Pond,478111.922,5189496.689,Aitkin,N,U,NA,NA,2,Fsh,Unnamed,Unnamed,NA,14.87979826,0.66169227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.486328891522437,1578.5586027026586,21.67308427105478,27.376349715283062
1005500,Lake or Pond,480669.5892,5189536.264,Aitkin,N,U,NA,NA,2,Fsh,Boot,Boot,10055,79.47263189,2.03157004,20.1168,11.2464,2.7432,2.286,3.2004,75.59739844,340.188293,0.781919912,3.3248245,NA,NA,NA,NA,NA,NA,27.242486826033634,1515.3505947065628,21.27389559348758,27.113394399648453
1005600,Lake or Pond,484181.8759,5189880.848,Aitkin,N,U,NA,NA,2,Fsh,Cutaway,Cutaway,10056,112.7338808,2.17266474,7.0104,3.9192,NA,NA,NA,113.0131499,508.5591744,0.760973392,8.8712289,NA,NA,NA,NA,NA,NA,27.635390371171038,1549.6295286851828,21.466149204069296,27.55632595940321
1005700,Lake or Pond,479080.2789,5198387.247,Aitkin,N,U,NA,NA,2,Fsh,Little Ball Bluff,Little Ball Bluff,10057,37.24938594,1.57375731,14.6304,8.1792,3.99605,2.8956,5.5,37.66169543,169.4776295,0.619550795,4.6859694,120,5.35,0.63,7.32875,0.1038,276.8814815,26.800206713393095,1519.3191509971175,21.411746710746556,26.68008162851948
1005800,Lake or Pond,481578.1451,5202475.47,Aitkin,N,U,NA,NA,2,Fsh,Vanduse,Vanduse,10058,239.5072906,5.71400897,7.9248,4.4304,3.343226667,0.76,5.9,225.6935795,1015.621108,0.80260591,1.9646593,NA,5.333333333,NA,7.58125,0.011833333,201.9,27.030526449431594,1440.5284459677296,20.776840833467265,26.956639012549815
1005900,Lake or Pond,483907.6544,5200206.455,Aitkin,N,U,NA,NA,2,Fsh,Hay,Hay,10059,128.8756441,2.11776312,9.7536,NA,2.002181818,1.5,2.9,126.1295723,567.5830753,0.856262319,8.98366365,NA,4,NA,7.352105263,0.019,200.7,27.44076539429344,1556.484883793749,21.514366860983444,27.31075515707518
1006000,Lake or Pond,475720.1964,5174088.828,Aitkin,N,U,NA,NA,2,Fsh,Sandy River,Sandy River,10060,333.8630489,4.99889885,2.1336,NA,0.863870968,0.3,1.4,336.7095533,1515.19299,0.620383018,9.4589907,NA,3,NA,NA,NA,NA,28.459899766915797,1549.6831537067167,21.089498528814545,28.336801313477565
1006100,Lake or Pond,475049.4283,5171750.948,Aitkin,N,U,NA,NA,2,Fsh,Flowage,Flowage,10061,731.1673688,11.66074179,1.524,0.852,0.845384615,0.3,1.37,917.5559126,4129.001607,0.514894447,11.93939955,60.6,NA,NA,7.34,1.002,120,28.459899766915797,1549.6831537067167,21.089498528814545,28.336801313477565
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,flowering rush,2009,2,Fsh,Big Sandy,Big Sandy,10062,6124.881668,56.98136212,24.384,13.632,1.273618272,0.38,3.333333333,6377.156326,28697.20347,0.657421851,10.10107912,56,14.47162162,1.167692308,7.153388889,0.039886598,120.7728205,27.143575712918153,1564.8303204829324,21.91241215808025,27.037362731405363
1006300,Lake or Pond,476258.3318,5183946.282,Aitkin,N,U,NA,NA,2,Fsh,Bass,Bass,10063,89.13001494,1.57425229,13,NA,1.76,1.4,2.4,88.33253424,397.4964041,0.870448126,5.28667735,NA,36,NA,NA,0.0165,NA,27.892787259737677,1596.3197723642813,21.737526010181135,27.771026445719663
1006400,Lake or Pond,471770.8354,5120846.164,Aitkin,N,U,NA,NA,2,Fsh,Bear,Bear,10064,123.6080432,2.55536737,18.288,NA,0.983,0.66,1.524,124.2006156,558.9027702,0.758629269,10.46129865,NA,10.245,NA,NA,0.0295,NA,28.468269433035545,1763.5851506169115,22.853112295078535,28.352676227959837
1006500,Lake or Pond,468837.4589,5118625.289,Aitkin,N,U,NA,NA,2,Fsh,Cedar,Cedar,10065,249.2528865,3.67426477,5.1816,2.8968,2.15,1.4,3.7,254.9851867,1147.43334,0.807018559,2.64672405,NA,NA,NA,7.610909091,0.035,110.7,28.7356789094701,1655.8209449691815,22.11669773033263,28.64676021143783
1006600,Lake or Pond,475497.2671,5136244.721,Aitkin,N,U,NA,NA,2,NA,Porcupine,Porcupine,10066,50.48258586,1.1459415,NA,NA,NA,NA,NA,50.88673711,228.990317,0.781692442,12.79265665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006700,Lake or Pond,471365.9765,5151041.101,Aitkin,N,U,NA,NA,2,USGS,Rice,Rice,10067,3698.897595,11.29810549,1.3716,NA,NA,NA,NA,3698.655708,16643.95069,0.363738396,3.990731825,NA,NA,NA,NA,NA,NA,27.856183886133767,1412.8163179605542,20.230567170168715,27.710021211857658
1006800,Lake or Pond,473983.3013,5154273.879,Aitkin,N,U,NA,NA,2,Fsh,Mandy,Mandy,10068,87.6609199,2.09469868,3.3528,NA,NA,NA,NA,87.77680802,394.9956361,0.670893488,6.42988415,NA,NA,NA,NA,NA,NA,28.676146665333796,1510.6771302250972,21.071614812844103,28.550188883662756
1006900,Lake or Pond,467739.481,5159347.436,Aitkin,N,U,NA,NA,2,Fsh,Portage,Portage,10069,372.4378591,5.12178391,5.1816,2.8968,1.680107692,0.7,2.6,350.9858397,1579.436279,0.904120046,3.7631957,NA,21.73333333,1.136666667,7.5525,0.034,175.55,28.457445358020433,1598.3996139728838,21.786798916496206,28.32574916134485
1007000,Lake or Pond,471006.7491,5166207.163,Aitkin,N,U,NA,NA,2,Fsh,Round,Round,10070,185.0371771,2.30869935,15.8496,NA,2.244044444,1.5,3.2004,180.2067502,810.9303757,0.880470163,7.94103645,45,9.85,0.8075,7.057241379,0.016,107.5533333,27.515567688873908,1589.7737091430154,21.82423973643243,27.400990622940878
1007100,Lake or Pond,472339.4137,5165849.496,Aitkin,N,U,NA,NA,2,Fsh,Davis,Davis,NA,136.0217013,4.96952335,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.459899766915797,1549.6831537067167,21.089498528814545,28.336801313477565
1007101,Lake or Pond,471966.0683,5166200.62,Aitkin,N,U,NA,NA,2,Fsh,Davis (Main Bay),Davis,10071,76.50452515,2.56328365,9.8,NA,0.695769231,0.46,0.84,81.99210313,368.9644641,0.536637046,15.0878284,78,6.968333333,1.703333333,7.33,0.0845,110,28.459899766915797,1549.6831537067167,21.089498528814545,28.336801313477565
1007102,Lake or Pond,472819.319,5165398.154,Aitkin,N,U,NA,NA,2,Fsh,Steamboat,Davis,10071,59.51717615,2.40623971,6.096,NA,0.7,0.7,0.7,65.36171457,294.1277156,0.353587896,13.38242235,88,21.13333333,1.87,7.133333333,0.0908,143.3333333,29.23914434808111,1664.5080559945952,21.956641912856504,29.10824244566375
1007200,Lake or Pond,470459.1842,5164338.888,Aitkin,N,U,NA,NA,2,Fsh,Rock,Rock,10072,341.4781003,5.3321699,4,NA,1.137386667,0.7,1.7,329.3806263,1482.212819,0.82039501,7.15489585,NA,33.9,1.33,7.577777778,0.0295,96.41111111,29.14238040609646,1599.1197417205985,21.631078444039805,28.968738286250463
1007300,Lake or Pond,471716.59,5163150.984,Aitkin,N,U,NA,NA,2,Fsh,Bass,Bass,10073,56.98113681,1.42765142,17.6784,NA,1.0668,0.9144,1.2192,55.55314521,249.9891535,0.796034537,8.1446483,NA,NA,NA,NA,NA,NA,27.591982455631364,1595.7457240925291,21.819477606836315,27.47476478398096
1007400,Lake or Pond,468977.3575,5161973.269,Aitkin,N,U,NA,NA,2,Fsh,Turner,Turner,10074,63.22529934,1.46053858,6.4008,NA,1.938733333,1.2,2.4,63.34107539,285.0348393,0.76832713,8.58825765,NA,26.06666667,0.98,7.129285714,0.030666667,211.55,27.897453434174224,1582.2608428720043,21.699161029627316,27.76144905832691
1007500,Lake or Pond,469296.3593,5161329.527,Aitkin,N,U,NA,NA,2,USGS,Ude,Ude,NA,9.46712156,0.67415245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007600,Lake or Pond,469158.1714,5178562.508,Aitkin,N,U,NA,NA,2,Fsh,Sanders,Sanders,10076,34.84375093,0.91714476,1.8288,NA,NA,NA,NA,60.24361486,271.0962669,0.346740297,6.361526,NA,NA,NA,NA,NA,NA,29.215100659933146,1440.5367403169353,20.454527563106772,29.20219964663866
1007700,Lake or Pond,473426.391,5174024.027,Aitkin,N,U,NA,NA,2,Fsh,Rat,Rat,10077,431.3065505,4.68450893,6.4008,NA,1.677614876,1.07,2.59,419.7612948,1888.925827,0.861865499,5.0248611,NA,14.35,0.95,7.7725,0.03075,157.5,28.213560022010572,1594.2412124585471,21.817862512564187,28.095267423985415
1007800,Lake or Pond,474850.4785,5179275.009,Aitkin,N,U,NA,NA,2,Fsh,Brown,Brown,10078,68.19818284,1.58386982,8.5344,NA,1.778571429,1.5,2,74.78251744,336.5213285,0.728037064,5.51158445,NA,NA,NA,NA,NA,NA,27.48546525144932,1562.4579398875762,21.576694435347537,27.36285145471619
1008000,Lake or Pond,472473.0206,5179831.444,Aitkin,N,U,NA,NA,2,NA,Libby,Libby,10080,71.77108425,1.53739088,NA,NA,NA,NA,NA,71.73396693,322.8028512,0.814738777,6.3700868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008100,Lake or Pond,474355.7676,5189365.131,Aitkin,N,U,NA,NA,2,NA,Oxbow,Oxbow,10081,27.22585664,1.00083138,NA,NA,NA,NA,NA,30.06361643,135.2862739,0.61351383,3.6731686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008200,Lake or Pond,474938.0712,5190221.593,Aitkin,N,U,NA,NA,2,Fsh,Twin,Twin,10082,40.15907019,1.56824222,8.5344,NA,NA,NA,NA,39.47131071,177.6208982,0.698116051,6.4554759,NA,NA,NA,NA,NA,NA,27.509112044438428,1563.8777577003643,21.57012130736421,27.391115976175875
1008300,Lake or Pond,466529.5359,5165955.721,Aitkin,N,U,NA,NA,2,Fsh,Townline,Townline,10083,67.23966389,2.00062042,12.192,NA,2.633228571,1.98,3.5052,64.72873513,291.2793081,0.748422541,4.93316165,NA,NA,NA,NA,NA,NA,27.551339839117706,1585.9368179500648,21.735600934762047,27.43140457111795
1008400,Lake or Pond,464015.9444,5139587.007,Aitkin,N,U,NA,NA,2,NA,Sugar,Sugar,10084,19.58900988,0.81930734,NA,NA,NA,NA,NA,18.8149804,84.6674118,0.578735064,6.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
